Index,Open,High,Low,Close,Volume,Adjusted
2010-01-04,125.411087036133,127.122367858887,125.095603942871,126.62523651123,6438444,75.3537673950195
2010-01-05,125.889099121094,126.051628112793,124.37858581543,125.095603942871,7156104,74.4435195922852
2010-01-06,124.933074951172,125.707458496094,124.101341247559,124.282981872559,5863144,73.9599227905273
2010-01-07,124.158699035645,124.521987915039,123.240921020508,123.85277557373,6109268,73.7039184570312
2010-01-08,123.393882751465,125.162521362305,123.37476348877,125.095603942871,4390271,74.4435195922852
2010-01-11,125.296363830566,125.296363830566,123.011474609375,123.785850524902,5993998,73.6641006469727
2010-01-12,123.355644226074,125.554496765137,123.326957702637,124.770553588867,8453249,74.2500839233398
2010-01-13,124.655830383301,125.353729248047,123.479927062988,124.502868652344,6752348,74.0907974243164
2010-01-14,124.808792114258,126.873802185059,124.196937561035,126.491394042969,7438943,75.2741622924805
2010-01-15,126.223709106445,127.045890808105,125.325050354004,125.984703063965,8885142,74.9726104736328
2010-01-19,125.841300964355,128.346084594727,125.774375915527,128.240921020508,14556345,76.3152770996094
2010-01-20,124.722755432129,125.38240814209,123.279159545898,124.521987915039,15896585,74.1021728515625
2010-01-21,124.732315063477,124.942642211914,122.428298950195,123.326957702637,10050596,73.3909912109375
2010-01-22,123.011474609375,123.221794128418,119.856597900391,119.980880737305,10552676,71.3997573852539
2010-01-25,120.774375915527,121.309753417969,120.181640625,120.573616027832,6002471,71.7524948120117
2010-01-26,120.38240814209,122.131927490234,119.894836425781,120.219886779785,7463524,71.5419921875
2010-01-27,120.286804199219,121.376670837402,119.541107177734,120.774375915527,9120283,71.8719787597656
2010-01-28,121.44359588623,121.453155517578,117.638626098633,118.307838439941,10064821,70.4041595458984
2010-01-29,118.85277557373,119.502868652344,116.539199829102,117.00764465332,12103475,69.6304702758789
2010-02-01,117.810707092285,119.455070495605,117.380500793457,119.187377929688,7576073,70.9275894165039
2010-02-02,119.302101135254,120.277244567871,118.499046325684,120.009559631348,6171295,71.4168548583984
2010-02-03,119.655830383301,120.525810241699,119.569793701172,120.133842468262,4369247,71.4907913208008
2010-02-04,119.684509277344,119.923515319824,117.495216369629,117.5908203125,9546737,69.9775009155273
2010-02-05,117.629066467285,118.279159545898,116.472274780273,118.087951660156,9013382,70.273323059082
2010-02-08,117.734222412109,117.801147460938,116.38623046875,116.520072937012,5981551,69.6504135131836
2010-02-09,117.256210327148,118.738052368164,117.074569702148,117.79158782959,6322547,70.4104766845703
2010-02-10,117.533462524414,118.21223449707,116.835563659668,117.4091796875,5459179,70.1818923950195
2010-02-11,117.189292907715,118.738052368164,116.692161560059,118.288719177246,5323094,70.7076416015625
2010-02-12,117.600379943848,118.59464263916,116.261947631836,118.546844482422,8386514,70.8619384765625
2010-02-16,119.41682434082,119.722755432129,118.652008056641,119.722755432129,7089056,71.5648345947266
2010-02-17,119.980880737305,120.96558380127,119.703636169434,120.774375915527,6095460,72.1934127807617
2010-02-18,120.58317565918,122.370933532715,120.458892822266,122.189292907715,5780091,73.0392303466797
2010-02-19,121.749519348145,122.428298950195,121.290634155273,121.596557617188,6593043,72.6849136352539
2010-02-22,121.701721191406,121.82600402832,120.755256652832,121.271507263184,3983273,72.4906158447266
2010-02-23,120.917785644531,122.045890808105,120.458892822266,120.898658752441,4803127,72.2677536010742
2010-02-24,121.434036254883,122.629066467285,121.233268737793,121.978965759277,5001972,72.9134826660156
2010-02-25,120.506690979004,121.644355773926,120.047798156738,121.481834411621,5919000,72.6163330078125
2010-02-26,121.424476623535,122.370933532715,121.166351318359,121.567878723145,5004273,72.6677551269531
2010-03-01,121.892921447754,123.164436340332,121.864242553711,122.915870666504,4788274,73.4735260009766
2010-03-02,123.040153503418,123.41300201416,121.539199829102,121.816444396973,6289912,72.8163375854492
2010-03-03,122.112808227539,122.390060424805,121.108985900879,121.300193786621,6683940,72.5077667236328
2010-03-04,121.481834411621,121.481834411621,119.952201843262,121.14722442627,6309786,72.4163131713867
2010-03-05,121.577438354492,121.940727233887,121.453155517578,121.653923034668,6422649,72.7192001342773
2010-03-08,121.472274780273,121.892921447754,120.803062438965,120.850860595703,6484468,72.2391510009766
2010-03-09,120.717018127441,120.736137390137,119.694076538086,120.028678894043,7875125,71.747688293457
2010-03-10,120.449333190918,120.803062438965,119.703636169434,120.095603942871,7234345,71.787712097168
2010-03-11,120.181640625,122.189292907715,120.181640625,121.988525390625,8286621,72.9192199707031
2010-03-12,122.284896850586,122.724662780762,121.902488708496,122.313575744629,5407297,73.1135101318359
2010-03-15,121.797325134277,122.695983886719,121.682601928711,122.20841217041,4704594,73.0506210327148
2010-03-16,122.370933532715,123.21223449707,121.845123291016,123.011474609375,6417105,73.5306701660156
2010-03-17,123.23136138916,123.260040283203,121.759078979492,122.141494750977,6640426,73.0106353759766
2010-03-18,121.854682922363,123.087951660156,121.845123291016,122.734222412109,5182302,73.3649520874023
2010-03-19,122.093688964844,123.260040283203,121.20458984375,122.093688964844,11238538,72.9820861816406
2010-03-22,121.520072937012,122.743789672852,121.00382232666,122.35181427002,5911887,73.1363677978516
2010-03-23,122.313575744629,123.738052368164,122.02677154541,123.680686950684,6253511,73.9307174682617
2010-03-24,122.97322845459,124.23518371582,122.820266723633,122.877632141113,6976088,73.4506759643555
2010-03-25,123.671127319336,124.980880737305,123.451240539551,123.55640411377,7952947,73.8563919067383
2010-03-26,123.260040283203,124.072654724121,123.059272766113,123.575523376465,5806137,73.8678283691406
2010-03-29,123.61376953125,124.23518371582,122.619499206543,122.934989929199,4856578,73.4849700927734
